image_id,category,置信度,score
farm1_310_19965523869_65d392c839_b.jpg,banquet_hall,0.5931,4.0
farm4_3677_20174911012_595e03bcd1_b.jpg,clothing_store,0.6375,5.0
farm1_329_20131996326_a98cd84719_b.jpg,bamboo_forest,0.9607,5.0
farm1_324_19948691899_b8077df637_b.jpg,temple/south_asia,0.7848,7.0
farm1_490_20210214621_61bbd74b30_b.jpg,dining_car,0.7807,4.0
farm1_330_20140193751_ef86021963_b.jpg,burial_chamber,0.7113,2.5
farm1_361_19796414649_f74f6076a2_b.jpg,wine_cellar/bottle_storage,0.9456,4.5
farm1_296_20202834722_b0f7b7c0d7_b.jpg,martial_arts_gym,0.8984,4.5
farm1_305_19478915634_593322b1c6_b.jpg,forest_path,0.8821,4.5
farm1_321_20148002352_4339cf2747_b.jpg,temple/south_asia,0.9437,5.5
farm1_396_20183405121_0c71cf9b23_b.jpg,corral,0.64,6.5
farm1_279_19929047320_73913956ea_b.jpg,lock_chamber,0.9358,7.5
farm1_266_20196576131_af7d7d9cc9_b.jpg,plaza,0.6713,3.5
farm1_364_20143199536_f257c7ce98_b.jpg,butte,0.8302,5.42
farm4_3798_19885608379_529a9d3e89_b.jpg,hill,0.667,0.5
farm1_264_19580083604_a66974ecdc_b.jpg,bathroom,0.9993,3.0
farm1_369_20135281466_665f2e6a70_b.jpg,conference_center,0.6202,3.5
farm1_362_20146308402_7925647e5a_b.jpg,park,0.6079,8.0
farm1_335_19804080379_cc88b5d84e_b.jpg,lecture_room,0.9675,0.5
farm1_278_20263644582_c871216726_b.jpg,playground,0.9966,5.5
farm1_549_20088528802_6cf13951c5_b.jpg,gift_shop,0.8077,2.92
farm1_324_20241707216_efe2cb06b6_b.jpg,delicatessen,0.9369,4.0
farm1_466_19968813030_b2496c8e4f_b.jpg,art_school,0.8665,6.5
farm1_393_20133806606_c7e9bf2f00_b.jpg,toyshop,0.9562,3.12
farm1_366_20207435711_b13aed054e_b.jpg,mausoleum,0.9828,7.5
farm1_278_19653258633_4d0c466100_b.jpg,wave,0.9945,8.5
farm1_259_20181410835_77719e0bc2_b.jpg,kindergarden_classroom,0.6634,5.42
farm1_484_19472545424_fda6554a8d_b.jpg,burial_chamber,0.8353,7.0
farm1_296_20073573722_4f1f872f4d_b.jpg,forest_path,0.6475,5.5
farm1_337_20179147452_e14d176eb9_b.jpg,apartment_building/outdoor,0.9834,4.0
farm1_303_19948105608_56be438d44_b.jpg,highway,0.9604,8.5
farm1_362_20174369136_03531c1c64_b.jpg,temple/east_asia,0.5882,6.5
farm1_394_19711782103_d7f9abcb81_b.jpg,apartment_building/outdoor,0.8723,4.0
farm1_348_19797357890_00f0767a51_b.jpg,hot_spring,0.9991,7.0
farm1_297_20328885035_e445aec9f8_b.jpg,gift_shop,0.6333,7.5
farm1_333_19879626149_17316066fa_b.jpg,river,0.7342,5.0
farm1_297_19884612958_eff573a129_b.jpg,desert/vegetation,0.9585,6.0
farm1_338_19570245094_205c7d1bb2_b.jpg,market/outdoor,0.8617,4.5
farm1_345_20084414911_fac2edb5e3_b.jpg,ruin,0.9215,6.5
farm1_344_19923740029_0f83ebe8ca_b.jpg,rainforest,0.5759,5.0
farm1_301_20173266215_7974ac112d_b.jpg,botanical_garden,0.6176,6.5
